uid,he_score,he_class,pdl1_score,pdl1_class
BLOCK_1|A8,0.55,1,0.53,1
BLOCK_5|L4,0.56,1,0.57,1
BLOCK_1|D4,0.45,0,0.48,0
BLOCK_2|E4,0.51,1,0.47,0
BLOCK_5|F6,0.56,1,0.51,1
BLOCK_1|L6,0.29,0,0.47,0
BLOCK_1|F8,0.48,0,0.54,1
BLOCK_2|F3,0.47,0,0.46,0
BLOCK_5|B9,0.56,1,0.63,1
BLOCK_4|K4,0.5,1,0.48,0
BLOCK_2|K8,0.51,1,0.51,1
BLOCK_4|L7,0.41,0,0.49,0
BLOCK_2|I6,0.58,1,0.6,1
BLOCK_3|B1,0.53,1,0.48,0
BLOCK_3|C9,0.47,0,0.46,0
BLOCK_1|C7,0.4,0,0.49,0
BLOCK_5|E1,0.59,1,0.43,0
BLOCK_5|D5,0.56,1,0.49,0
BLOCK_1|I5,0.39,0,0.46,0
BLOCK_2|C8,0.48,0,0.42,0
BLOCK_1|H3,0.39,0,0.45,0
BLOCK_3|D4,0.42,0,0.36,0
BLOCK_1|I1,0.48,0,0.5,1
BLOCK_4|B4,0.49,0,0.49,0
BLOCK_5|B3,0.57,1,0.5,1
BLOCK_2|H3,0.46,0,0.43,0
BLOCK_2|C5,0.52,1,0.48,0
BLOCK_5|L1,0.51,1,0.4,0
BLOCK_2|F7,0.47,0,0.45,0
BLOCK_1|I2,0.47,0,0.45,0
BLOCK_5|E2,0.41,0,0.51,1
BLOCK_2|A1,0.39,0,0.49,0
BLOCK_4|J6,0.36,0,0.41,0
BLOCK_4|D7,0.56,1,0.52,1
BLOCK_3|L8,0.51,1,0.46,0
BLOCK_5|B2,0.48,0,0.49,0
BLOCK_5|I6,0.54,1,0.47,0
BLOCK_1|I3,0.51,1,0.46,0
BLOCK_1|F1,0.47,0,0.47,0
BLOCK_2|G6,0.4,0,0.49,0
BLOCK_2|D5,0.49,0,0.49,0
BLOCK_5|J7,0.67,1,0.58,1
BLOCK_2|K2,0.36,0,0.46,0
